method,endpoint,field_path,description,type,required
POST,/batch/split,paymentDetails[creditCardPayment].creditCard.cardType,"Card brand. Accepted values: visa, mastercard, discover, americanExpress.",enum: visa | mastercard | discover | americanExpress,Optional
POST,/batch/split,paymentDetails[creditCardPayment].creditCard.cardNumber,Credit card number (PAN) as a string.,string,Optional
POST,/batch/split,paymentDetails[creditCardPayment].creditCard.expirationDate.month,Expiration month as an integer (1–12).,integer,Optional
POST,/batch/split,paymentDetails[creditCardPayment].creditCard.expirationDate.year,Expiration year as a four-digit integer (e.g. 2027).,integer,Optional
POST,/batch/split,paymentDetails[creditCardPayment].creditCard.cvv,Card security code (CVV/CVC) as an integer.,integer,Optional
POST,/batch/split,paymentDetails[invoicePayment].invoice.invoiceNumber,Invoice reference number.,string,Optional
POST,/batch/split,paymentDetails[invoicePayment].invoice.amountDue,Amount due on the invoice.,number,Optional
POST,/batch/split,paymentDetails[achPayment].ach.routingNumber,ABA bank routing number.,string,Optional
POST,/batch/split,paymentDetails[achPayment].ach.accountNumber,Bank account number.,string,Optional
POST,/batch/split,paymentDetails[achPayment].ach.checkDigit,ACH check digit.,integer,Optional
POST,/batch/split,paymentDetails[userCreditPayment].userCredit.amount,Monetary amount (numeric value).,number,Optional
POST,/batch/split,paymentDetails[userCreditPayment].userCredit.currency,"ISO 4217 currency code. Accepted values: USD, EUR, GBP, CAD, AUD.",enum: USD | EUR | GBP | CAD | AUD,Optional
POST,/batch/split,returnAddress.firstName,Recipient's first name.,string,Optional
POST,/batch/split,returnAddress.lastName,Recipient's last name.,string,Optional
POST,/batch/split,returnAddress.company,Recipient's company or organisation name (optional).,string,Optional
POST,/batch/split,returnAddress.address1,Primary street address line.,string,Optional
POST,/batch/split,returnAddress.city,City name.,string,Optional
POST,/batch/split,returnAddress.state,Two-letter state or province abbreviation.,string,Optional
POST,/batch/split,returnAddress.zip,ZIP or postal code.,string,Optional
POST,/batch/split,returnAddress.country,Country code (e.g. USA).,string,Optional
POST,/batch/split,returnAddress.address2,"Secondary address line (suite, apartment, floor, etc.).",string,Optional
POST,/batch/split,returnAddress.address3,Tertiary address line.,string,Optional
POST,/batch/split,jobOptions.documentClass,"Document class. Legal values: letter, postcard, brochure, flat.",enum: letter | postcard | brochure | flat,Optional
POST,/batch/split,jobOptions.layout,"Page layout for address placement. Legal values: address_on_first_page, address_on_back_page.",enum: address_on_first_page | address_on_back_page,Optional
POST,/batch/split,jobOptions.productionTime,"Production time preference. Legal values: next_day, two_day, three_day, standard, same_day.",enum: next_day | two_day | three_day | standard | same_day,Optional
POST,/batch/split,jobOptions.envelope,"Envelope type. Legal values: standard, none, flat, double_window.",enum: standard | none | flat | double_window,Optional
POST,/batch/split,jobOptions.color,"Color mode. Legal values: full_color, black_and_white.",enum: full_color | black_and_white,Optional
POST,/batch/split,jobOptions.paperType,"Paper stock. Legal values: white, white_24, ivory, glossy.",enum: white | white_24 | ivory | glossy,Optional
POST,/batch/split,jobOptions.printOption,"Duplex setting. Legal values: double_sided, single_sided.",enum: double_sided | single_sided,Optional
POST,/batch/split,jobOptions.mailClass,"USPS mail class. Legal values: first_class, standard, non_profit.",enum: first_class | standard | non_profit,Optional
POST,/batch/split,tags[],Optional list of user-defined string tags for reporting and filtering.,string,Optional
POST,/batch/split/address-capture,jobTemplate,Saved job template name; pre-populates all print and mail options. Mutually exclusive with jobOptions.,string,Optional
POST,/batch/split/address-capture,docSourceStandard[documentIdSource].documentId,Integer ID of a previously stored or uploaded document.,integer,Required*
POST,/batch/split/address-capture,docSourceStandard[requestIdSource].requestId,Integer ID of a prior file upload request. Also returned in success responses.,integer,Required*
POST,/batch/split/address-capture,docSourceStandard[requestIdSource].filename,Filename of a specific file within an upload request or ZIP archive.,string,Optional
POST,/batch/split/address-capture,docSourceStandard[urlSource].url,URL from which the API will fetch the document at submission time.,string,Required*
POST,/batch/split/address-capture,pdfSplitJobsNoAddress[].startPage,"First page of this job's page range, 1-indexed (inclusive).",integer,Required
POST,/batch/split/address-capture,pdfSplitJobsNoAddress[].endPage,Last page of this job's page range (inclusive). Must be ≥ startPage.,integer,Required
POST,/batch/split/address-capture,paymentDetails[creditCardPayment].creditCard.cardType,"Card brand. Accepted values: visa, mastercard, discover, americanExpress.",enum: visa | mastercard | discover | americanExpress,Optional
POST,/batch/split/address-capture,paymentDetails[creditCardPayment].creditCard.cardNumber,Credit card number (PAN) as a string.,string,Optional
POST,/batch/split/address-capture,paymentDetails[creditCardPayment].creditCard.expirationDate.month,Expiration month as an integer (1–12).,integer,Optional
POST,/batch/split/address-capture,paymentDetails[creditCardPayment].creditCard.expirationDate.year,Expiration year as a four-digit integer (e.g. 2027).,integer,Optional
POST,/batch/split/address-capture,paymentDetails[creditCardPayment].creditCard.cvv,Card security code (CVV/CVC) as an integer.,integer,Optional
POST,/batch/split/address-capture,paymentDetails[invoicePayment].invoice.invoiceNumber,Invoice reference number.,string,Optional
POST,/batch/split/address-capture,paymentDetails[invoicePayment].invoice.amountDue,Amount due on the invoice.,number,Optional
POST,/batch/split/address-capture,paymentDetails[achPayment].ach.routingNumber,ABA bank routing number.,string,Optional
POST,/batch/split/address-capture,paymentDetails[achPayment].ach.accountNumber,Bank account number.,string,Optional
POST,/batch/split/address-capture,paymentDetails[achPayment].ach.checkDigit,ACH check digit.,integer,Optional
POST,/batch/split/address-capture,paymentDetails[userCreditPayment].userCredit.amount,Monetary amount (numeric value).,number,Optional
POST,/batch/split/address-capture,paymentDetails[userCreditPayment].userCredit.currency,"ISO 4217 currency code. Accepted values: USD, EUR, GBP, CAD, AUD.",enum: USD | EUR | GBP | CAD | AUD,Optional
POST,/batch/split/address-capture,returnAddress.firstName,Recipient's first name.,string,Optional
POST,/batch/split/address-capture,returnAddress.lastName,Recipient's last name.,string,Optional
POST,/batch/split/address-capture,returnAddress.company,Recipient's company or organisation name (optional).,string,Optional
POST,/batch/split/address-capture,returnAddress.address1,Primary street address line.,string,Optional
POST,/batch/split/address-capture,returnAddress.city,City name.,string,Optional
POST,/batch/split/address-capture,returnAddress.state,Two-letter state or province abbreviation.,string,Optional
POST,/batch/split/address-capture,returnAddress.zip,ZIP or postal code.,string,Optional
POST,/batch/split/address-capture,returnAddress.country,Country code (e.g. USA).,string,Optional
POST,/batch/split/address-capture,returnAddress.address2,"Secondary address line (suite, apartment, floor, etc.).",string,Optional
POST,/batch/split/address-capture,returnAddress.address3,Tertiary address line.,string,Optional
POST,/batch/split/address-capture,jobOptions.documentClass,"Document class. Legal values: letter, postcard, brochure, flat.",enum: letter | postcard | brochure | flat,Optional
POST,/batch/split/address-capture,jobOptions.layout,"Page layout for address placement. Legal values: address_on_first_page, address_on_back_page.",enum: address_on_first_page | address_on_back_page,Optional
POST,/batch/split/address-capture,jobOptions.productionTime,"Production time preference. Legal values: next_day, two_day, three_day, standard, same_day.",enum: next_day | two_day | three_day | standard | same_day,Optional
POST,/batch/split/address-capture,jobOptions.envelope,"Envelope type. Legal values: standard, none, flat, double_window.",enum: standard | none | flat | double_window,Optional
POST,/batch/split/address-capture,jobOptions.color,"Color mode. Legal values: full_color, black_and_white.",enum: full_color | black_and_white,Optional
POST,/batch/split/address-capture,jobOptions.paperType,"Paper stock. Legal values: white, white_24, ivory, glossy.",enum: white | white_24 | ivory | glossy,Optional
POST,/batch/split/address-capture,jobOptions.printOption,"Duplex setting. Legal values: double_sided, single_sided.",enum: double_sided | single_sided,Optional
POST,/batch/split/address-capture,jobOptions.mailClass,"USPS mail class. Legal values: first_class, standard, non_profit.",enum: first_class | standard | non_profit,Optional
POST,/batch/split/address-capture,tags[],Optional list of user-defined string tags for reporting and filtering.,string,Optional
POST,/mail-merge,jobTemplate,Saved job template name; pre-populates all print and mail options. Mutually exclusive with jobOptions.,string,Optional
POST,/mail-merge,mergeDocumentSource[][mergeByDocumentId].documentId,Integer ID of a previously stored or uploaded document.,integer,Required*
POST,/mail-merge,mergeDocumentSource[][mergeByRequestId].requestId,Integer ID of a prior file upload request. Also returned in success responses.,integer,Required*
POST,/mail-merge,mergeDocumentSource[][mergeByRequestId].filename,Filename of a specific file within an upload request or ZIP archive.,string,Optional
POST,/mail-merge,recipientAddressSource[singleAddress].firstName,Recipient's first name.,string,Required*
POST,/mail-merge,recipientAddressSource[singleAddress].lastName,Recipient's last name.,string,Required*
POST,/mail-merge,recipientAddressSource[singleAddress].address1,Primary street address line.,string,Required*
POST,/mail-merge,recipientAddressSource[singleAddress].city,City name.,string,Required*
POST,/mail-merge,recipientAddressSource[singleAddress].state,Two-letter state or province abbreviation.,string,Required*
POST,/mail-merge,recipientAddressSource[singleAddress].zip,ZIP or postal code.,string,Required*
POST,/mail-merge,recipientAddressSource[singleAddress].country,Country code (e.g. USA).,string,Required*
POST,/mail-merge,recipientAddressSource[singleAddress].address2,"Secondary address line (suite, apartment, floor, etc.).",string,Optional
POST,/mail-merge,recipientAddressSource[singleAddress].address3,Tertiary address line.,string,Optional
POST,/mail-merge,recipientAddressSource[singleAddress].foo1,User-defined merge variable 1 — forwarded to the address list merge mapping for personalisation.,string,Optional
POST,/mail-merge,recipientAddressSource[singleAddress].foo2,User-defined merge variable 2 — forwarded to the address list merge mapping for personalisation.,string,Optional
POST,/mail-merge,recipientAddressSource[recipientAddressByList].mappingId,"Integer ID of a merge-field mapping profile that associates address columns to template variables. If omitted, the account default mapping is used.",integer,Optional
POST,/mail-merge,recipientAddressSource[recipientAddressByList].addressList[].firstName,Recipient's first name.,string,Required*
POST,/mail-merge,recipientAddressSource[recipientAddressByList].addressList[].lastName,Recipient's last name.,string,Required*
POST,/mail-merge,recipientAddressSource[recipientAddressByList].addressList[].address1,Primary street address line.,string,Required*
POST,/mail-merge,recipientAddressSource[recipientAddressByList].addressList[].city,City name.,string,Required*
POST,/mail-merge,recipientAddressSource[recipientAddressByList].addressList[].state,Two-letter state or province abbreviation.,string,Required*
POST,/mail-merge,recipientAddressSource[recipientAddressByList].addressList[].zip,ZIP or postal code.,string,Required*
POST,/mail-merge,recipientAddressSource[recipientAddressByList].addressList[].country,Country code (e.g. USA).,string,Required*
POST,/mail-merge,recipientAddressSource[recipientAddressByList].addressList[].address2,"Secondary address line (suite, apartment, floor, etc.).",string,Optional
POST,/mail-merge,recipientAddressSource[recipientAddressByList].addressList[].address3,Tertiary address line.,string,Optional
POST,/mail-merge,recipientAddressSource[recipientAddressByList].addressList[].foo1,User-defined merge variable 1 — forwarded to the address list merge mapping for personalisation.,string,Optional
POST,/mail-merge,recipientAddressSource[recipientAddressByList].addressList[].foo2,User-defined merge variable 2 — forwarded to the address list merge mapping for personalisation.,string,Optional
POST,/mail-merge,recipientAddressSource[recipientAddressByList].addressListName,Optional name for this address list record.,string,Optional
POST,/mail-merge,recipientAddressSource[recipientAddressByAddressId].addressId,Integer ID of a previously stored individual recipient address.,integer,Required*
POST,/mail-merge,recipientAddressSource[recipientAddressByListId].addressListId,Integer ID of a previously stored recipient address list.,integer,Required*
POST,/mail-merge,paymentDetails[creditCardPayment].creditCard.cardType,"Card brand. Accepted values: visa, mastercard, discover, americanExpress.",enum: visa | mastercard | discover | americanExpress,Optional
POST,/mail-merge,paymentDetails[creditCardPayment].creditCard.cardNumber,Credit card number (PAN) as a string.,string,Optional
POST,/mail-merge,paymentDetails[creditCardPayment].creditCard.expirationDate.month,Expiration month as an integer (1–12).,integer,Optional
POST,/mail-merge,paymentDetails[creditCardPayment].creditCard.expirationDate.year,Expiration year as a four-digit integer (e.g. 2027).,integer,Optional
POST,/mail-merge,paymentDetails[creditCardPayment].creditCard.cvv,Card security code (CVV/CVC) as an integer.,integer,Optional
POST,/mail-merge,paymentDetails[invoicePayment].invoice.invoiceNumber,Invoice reference number.,string,Optional
POST,/mail-merge,paymentDetails[invoicePayment].invoice.amountDue,Amount due on the invoice.,number,Optional
POST,/mail-merge,paymentDetails[achPayment].ach.routingNumber,ABA bank routing number.,string,Optional
POST,/mail-merge,paymentDetails[achPayment].ach.accountNumber,Bank account number.,string,Optional
POST,/mail-merge,paymentDetails[achPayment].ach.checkDigit,ACH check digit.,integer,Optional
POST,/mail-merge,paymentDetails[userCreditPayment].userCredit.amount,Monetary amount (numeric value).,number,Optional
POST,/mail-merge,paymentDetails[userCreditPayment].userCredit.currency,"ISO 4217 currency code. Accepted values: USD, EUR, GBP, CAD, AUD.",enum: USD | EUR | GBP | CAD | AUD,Optional
POST,/mail-merge,returnAddress.firstName,Recipient's first name.,string,Optional
POST,/mail-merge,returnAddress.lastName,Recipient's last name.,string,Optional
POST,/mail-merge,returnAddress.company,Recipient's company or organisation name (optional).,string,Optional
POST,/mail-merge,returnAddress.address1,Primary street address line.,string,Optional
POST,/mail-merge,returnAddress.city,City name.,string,Optional
POST,/mail-merge,returnAddress.state,Two-letter state or province abbreviation.,string,Optional
POST,/mail-merge,returnAddress.zip,ZIP or postal code.,string,Optional
POST,/mail-merge,returnAddress.country,Country code (e.g. USA).,string,Optional
POST,/mail-merge,returnAddress.address2,"Secondary address line (suite, apartment, floor, etc.).",string,Optional
POST,/mail-merge,returnAddress.address3,Tertiary address line.,string,Optional
POST,/mail-merge,jobOptions.documentClass,"Document class. Legal values: letter, postcard, brochure, flat.",enum: letter | postcard | brochure | flat,Optional
POST,/mail-merge,jobOptions.layout,"Page layout for address placement. Legal values: address_on_first_page, address_on_back_page.",enum: address_on_first_page | address_on_back_page,Optional
POST,/mail-merge,jobOptions.productionTime,"Production time preference. Legal values: next_day, two_day, three_day, standard, same_day.",enum: next_day | two_day | three_day | standard | same_day,Optional
POST,/mail-merge,jobOptions.envelope,"Envelope type. Legal values: standard, none, flat, double_window.",enum: standard | none | flat | double_window,Optional
POST,/mail-merge,jobOptions.color,"Color mode. Legal values: full_color, black_and_white.",enum: full_color | black_and_white,Optional
POST,/mail-merge,jobOptions.paperType,"Paper stock. Legal values: white, white_24, ivory, glossy.",enum: white | white_24 | ivory | glossy,Optional
POST,/mail-merge,jobOptions.printOption,"Duplex setting. Legal values: double_sided, single_sided.",enum: double_sided | single_sided,Optional
POST,/mail-merge,jobOptions.mailClass,"USPS mail class. Legal values: first_class, standard, non_profit.",enum: first_class | standard | non_profit,Optional
POST,/mail-merge,tags[],Optional list of user-defined string tags for reporting and filtering.,string,Optional
POST,/batch/zip,docSourceZipFileRef[zipDocumentIdOnly].zipDocumentId,Integer ID of a previously stored ZIP archive.,integer,Required*
POST,/batch/zip,docSourceZipFileRef[zipRequestIdOnly].requestId,Integer ID of a prior file upload request. Also returned in success responses.,integer,Required*
POST,/batch/zip,multiZipJobs[].jobTemplate,Saved job template name; pre-populates all print and mail options. Mutually exclusive with jobOptions.,string,Optional
POST,/batch/zip,multiZipJobs[].filename,Filename of a specific file within an upload request or ZIP archive.,string,Required
POST,/batch/zip,multiZipJobs[].recipientAddressSource[singleAddress].firstName,Recipient's first name.,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[singleAddress].lastName,Recipient's last name.,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[singleAddress].address1,Primary street address line.,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[singleAddress].city,City name.,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[singleAddress].state,Two-letter state or province abbreviation.,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[singleAddress].zip,ZIP or postal code.,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[singleAddress].country,Country code (e.g. USA).,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[singleAddress].address2,"Secondary address line (suite, apartment, floor, etc.).",string,Optional
POST,/batch/zip,multiZipJobs[].recipientAddressSource[singleAddress].address3,Tertiary address line.,string,Optional
POST,/batch/zip,multiZipJobs[].recipientAddressSource[singleAddress].foo1,User-defined merge variable 1 — forwarded to the address list merge mapping for personalisation.,string,Optional
POST,/batch/zip,multiZipJobs[].recipientAddressSource[singleAddress].foo2,User-defined merge variable 2 — forwarded to the address list merge mapping for personalisation.,string,Optional
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].mappingId,"Integer ID of a merge-field mapping profile that associates address columns to template variables. If omitted, the account default mapping is used.",integer,Optional
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].addressList[].firstName,Recipient's first name.,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].addressList[].lastName,Recipient's last name.,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].addressList[].address1,Primary street address line.,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].addressList[].city,City name.,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].addressList[].state,Two-letter state or province abbreviation.,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].addressList[].zip,ZIP or postal code.,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].addressList[].country,Country code (e.g. USA).,string,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].addressList[].address2,"Secondary address line (suite, apartment, floor, etc.).",string,Optional
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].addressList[].address3,Tertiary address line.,string,Optional
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].addressList[].foo1,User-defined merge variable 1 — forwarded to the address list merge mapping for personalisation.,string,Optional
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].addressList[].foo2,User-defined merge variable 2 — forwarded to the address list merge mapping for personalisation.,string,Optional
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByList].addressListName,Optional name for this address list record.,string,Optional
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByAddressId].addressId,Integer ID of a previously stored individual recipient address.,integer,Required*
POST,/batch/zip,multiZipJobs[].recipientAddressSource[recipientAddressByListId].addressListId,Integer ID of a previously stored recipient address list.,integer,Required*
POST,/batch/zip,paymentDetails[creditCardPayment].creditCard.cardType,"Card brand. Accepted values: visa, mastercard, discover, americanExpress.",enum: visa | mastercard | discover | americanExpress,Optional
POST,/batch/zip,paymentDetails[creditCardPayment].creditCard.cardNumber,Credit card number (PAN) as a string.,string,Optional
POST,/batch/zip,paymentDetails[creditCardPayment].creditCard.expirationDate.month,Expiration month as an integer (1–12).,integer,Optional
POST,/batch/zip,paymentDetails[creditCardPayment].creditCard.expirationDate.year,Expiration year as a four-digit integer (e.g. 2027).,integer,Optional
POST,/batch/zip,paymentDetails[creditCardPayment].creditCard.cvv,Card security code (CVV/CVC) as an integer.,integer,Optional
POST,/batch/zip,paymentDetails[invoicePayment].invoice.invoiceNumber,Invoice reference number.,string,Optional
POST,/batch/zip,paymentDetails[invoicePayment].invoice.amountDue,Amount due on the invoice.,number,Optional
POST,/batch/zip,paymentDetails[achPayment].ach.routingNumber,ABA bank routing number.,string,Optional
POST,/batch/zip,paymentDetails[achPayment].ach.accountNumber,Bank account number.,string,Optional
POST,/batch/zip,paymentDetails[achPayment].ach.checkDigit,ACH check digit.,integer,Optional
POST,/batch/zip,paymentDetails[userCreditPayment].userCredit.amount,Monetary amount (numeric value).,number,Optional
